signed_at,tx_hash,block_height,tx_offset,log_offset,user,purchaseamount,liquidatedcollateralamount,liquidator,collateral_token_name,collateral_wad,Reserve_token_name,reserve_wad,liquidIn,RealCollateral,transfer_size,profit,currency_amount
2022-02-20T03:25:31.0,741FB137108991B859BCFB517482ED9F1B6988472D0FCEBE874AF91FC1F50CF9,14240511,59,194,2F6F8DDC3395BC5CB198A7D734EE44EED42EE601,3249316858606603931202,380970123416941785934,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,UNI token,1000000000000000000,Dai,1000000000000000000,3249.316858606603931201999999999999999999999999999999999999999999999999999999998,380.970123416941785934,2,177615499890188869,ETH
2022-02-20T05:33:32.0,708ED5434A3552D9DCD6A029BDD7D54DDE97B751AF72A279D2D8B7CC6DAAA90B,14241093,1,13,DFFF43A407BF3468A27618B1DC1E87021234C420,424149884594,22904979827955163363,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDC,1000000,424149.8845939999999999999999999999999999999999999999999999999999999999999999988,22.90497982795516336300000000000000000000000000000000000000000000000000000000008,2,10332929218385340319,ETH
2022-02-20T05:40:17.0,E2976382623552BCE8BCE84978472B07FD20CBF47B6A117B71A415679A299D60,14241135,98,153,A42E0BD7C9C7956EAAD3EDA50F02E0C5B418C29E,344306292753,18811491627432661795,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDC,1000000,344306.2927530000000000000000000000000000000000000000000000000000000000000000015,18.81149162743266179500000000000000000000000000000000000000000000000000000000006,2,10224920433436776964,ETH
2022-02-20T06:08:21.0,2669B869235B6F825D1BE5D82A11F66257EE59D774E1817012BCC0EF15B7DD88,14241250,53,102,69D7F09BF046CAB22CF4C678F5CC6B8FA71A313A,3434355228,257436971154638988353,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,LINK,1000000000000000000,USDC,1000000,3434.355228000000000000000000000000000000000000000000000000000000000000000000013,257.4369711546389883530000000000000000000000000000000000000000000000000000000022,2,120680089502728693,ETH
2022-02-20T08:46:31.0,34994AA31B823BD14A5E1F9A5BB9F62A19AB84D04003267EB34F58E2B252DFFD,14241936,96,268,A42E0BD7C9C7956EAAD3EDA50F02E0C5B418C29E,322894420913100131127777,18125042833448038072,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,Dai,1000000000000000000,322894.4209131001311277769999999999999999999999999999999999999999999999999999989,18.12504283344803807200000000000000000000000000000000000000000000000000000000009,2,4177059316461831190,ETH
2022-02-21T23:51:34.0,E782932624B19C9816AF160A1BF976390762A66C011A79834C0731E6EE59889B,14252479,30,74,454C24B6044AD7CBE1040577127316615857F7E1,18392981332,1058911957129217367,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDC,1000000,18392.98133199999999999999999999999999999999999999999999999999999999999999999999,1.058911957129217367000000000000000000000000000000000000000000000000000000000007,2,44115132401931610,ETH
2022-02-21T23:55:25.0,07E7311F417C19AB2D7616122EFCD337CCD43D362ADC1B6E445682C6CA2D266A,14252499,12,36,A42E0BD7C9C7956EAAD3EDA50F02E0C5B418C29E,326541427637376483220156,18930720983504389282,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,Dai,1000000000000000000,326541.4276373764832201559999999999999999999999999999999999999999999999999999996,18.93072098350438928199999999999999999999999999999999999999999999999999999999995,2,8734429997366513342,ETH
2022-02-22T00:23:02.0,68623BF140275E74BF0BD229D44066969BC26521AC5AA0DA2535E0799018B0B2,14252622,1,13,DFFF43A407BF3468A27618B1DC1E87021234C420,347492860279353935261420,20362702979880874171,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,Dai,1000000000000000000,347492.8602793539352614200000000000000000000000000000000000000000000000000000017,20.36270297988087417100000000000000000000000000000000000000000000000000000000004,2,9952649157674482083,ETH
2022-02-24T03:39:31.0,F2BA8D95E9EEA4F6B7A4AD18CB0DD22720EECEC885BC3B0D61C34D72F33DC1AE,14266400,3,13,E787DEEC0BE77DB98A1294193E2C1600C8A8687D,392530065115,23465400535220841678,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDC,1000000,392530.0651149999999999999999999999999999999999999999999999999999999999999999996,23.46540053522084167799999999999999999999999999999999999999999999999999999999996,2,11163949368403873419,ETH
2022-02-24T03:43:48.0,5B9D473F091A02F4AB9A960D60431C371AA6B9F151DEF1F9979770943162EE4B,14266422,16,37,A42E0BD7C9C7956EAAD3EDA50F02E0C5B418C29E,308540715588755030012684,18675495106661669749,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,Dai,1000000000000000000,308540.7155887550300126839999999999999999999999999999999999999999999999999999996,18.67549510666166974900000000000000000000000000000000000000000000000000000000001,2,8646652466685913389,ETH
2022-02-24T04:16:00.0,923D4FEAC2BF8A80BDD23241921A6B9EBF464E6A61CBCA0F7FE80AB8A5DE396A,14266574,25,71,454C24B6044AD7CBE1040577127316615857F7E1,16051634351,990353071269271979,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDT,1000000,16051.63435099999999999999999999999999999999999999999999999999999999999999999999,0.9903530712692719789999999999999999999999999999999999999999999999999999999999977,2,762393521599836121,ETH
2022-02-24T05:27:36.0,C4EFAC56C15F081F406A41F8FD3A4BB38F7972369ABCF9FCA7BB32C8134AC76D,14266890,185,220,A42E0BD7C9C7956EAAD3EDA50F02E0C5B418C29E,291054272322541403833048,18375418734165036802,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,Dai,1000000000000000000,291054.2723225414038330479999999999999999999999999999999999999999999999999999995,18.37541873416503680200000000000000000000000000000000000000000000000000000000004,2,8048483547630931464,ETH
2022-02-24T05:38:33.0,D213160532262955098A8478EC07691547DBA867663E0CA48A710E8510310DC2,14266939,171,262,DFFF43A407BF3468A27618B1DC1E87021234C420,263968321675772914103559,16863448554991630205,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,Dai,1000000000000000000,263968.3216757729141035590000000000000000000000000000000000000000000000000000001,16.86344855499163020499999999999999999999999999999999999999999999999999999999989,2,6763189870887897871,ETH
2022-02-24T23:07:28.0,BE1EC42AFE9E5FC81265016B2425514E9F680F82CE90EF3CD25DCBD60058AD69,14271702,50,75,B50A98B218968D9D6EC895BE6850AB2807B763DC,1986573753,119744973655180266,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDT,1000000,1986.573753000000000000000000000000000000000000000000000000000000000000000000003,0.1197449736551802659999999999999999999999999999999999999999999999999999999999999,2,113974328435394646,ETH
2022-02-24T23:08:54.0,67947EB60E2CD78F56B61C6772069BACF22281BF2B056159628D451482D6AB2D,14271713,21,61,30DA8F46568680408E7CCAFD35E91A615F50C24A,2556435702,214219084806708867586,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,LINK,1000000000000000000,USDC,1000000,2556.43570199999999999999999999999999999999999999999999999999999999999999999999,214.2190848067088675860000000000000000000000000000000000000000000000000000000007,2,89037859793460164,ETH
2022-02-24T23:08:56.0,00E17D68AE005D6CB89B03E852C25DD3F9A04F93CDA1F7BB461DCF678FF1BCFF,14271714,190,98,107FE2152EE2F585711A6EA58F755D9A3B8EF119,2867230889879408013010,239279881582483345533,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,LINK,1000000000000000000,Dai,1000000000000000000,2867.230889879408013009999999999999999999999999999999999999999999999999999999987,239.2798815824833455330000000000000000000000000000000000000000000000000000000003,2,91150357403654316,ETH
2022-02-24T23:08:56.0,7A0342961D8247D03BBAEB73F7308B07396E7DD4E62F8FE0FF0E4AF0FCF35065,14271714,212,118,A83C02E8675B662C92BAB635DE1DD69D265F4344,2651329274291975961848,221262179138785003476,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,LINK,1000000000000000000,Dai,1000000000000000000,2651.329274291975961847999999999999999999999999999999999999999999999999999999983,221.2621791387850034760000000000000000000000000000000000000000000000000000000002,2,81631289510558255,ETH
2022-02-27T02:02:43.0,0CDDD5DCEB791FE618EA21862B0B760F96725BF00FF79E88E3C8DB3167003933,14285421,405,331,FA65F12E326DA4AF7895E5FC71F5B383CB8E6624,5332867322312765037805,414653776821367889132,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,LINK,1000000000000000000,TrueUSD,1000000000000000000,5332.867322312765037805000000000000000000000000000000000000000000000000000000018,414.6537768213678891320000000000000000000000000000000000000000000000000000000019,2,180631208541218505,ETH
2022-02-28T06:16:49.0,BC0F947C5653F9D274B15537E0BC82CBF71AFD975954FDB47E1F78B5BCE133F2,14292947,14,20,69D7F09BF046CAB22CF4C678F5CC6B8FA71A313A,2799809312783895092959,228157371004638425043,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,LINK,1000000000000000000,Proxy sUSD Token,1000000000000000000,2799.809312783895092958999999999999999999999999999999999999999999999999999999994,228.157371004638425043000000000000000000000000000000000000000000000000000000001,2,107604405334443873,ETH
2022-03-04T05:59:43.0,C1DBB7D6B2F1CF345A9A2972C8373AF598A9936218C12B93861F4B69D02063EB,14318687,5,45,722AA48EF7DA9DCEB77D2DB036967CCA1F03E657,2919540887,1264697085272748318845,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,MANA Token,1000000000000000000,USDC,1000000,2919.540887000000000000000000000000000000000000000000000000000000000000000000018,1264.697085272748318845000000000000000000000000000000000000000000000000000000005,2,103870823583033884,ETH
2022-03-06T10:01:32.0,849D37462CE087C68F14B16438093611894EED3134366D57D98A5EC2790CF70C,14332668,99,171,A42E0BD7C9C7956EAAD3EDA50F02E0C5B418C29E,508258817041342497857061,30895795319732436189,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,Dai,1000000000000000000,508258.817041342497857061000000000000000000000000000000000000000000000000000002,30.89579531973243618900000000000000000000000000000000000000000000000000000000002,2,8791616938758764870,ETH
2022-03-06T10:05:00.0,71353D170E450BDBAF16E487244084FCE9FFD364F049805BC35A6D31A0739FAB,14332690,1,18,DFFF43A407BF3468A27618B1DC1E87021234C420,481136561187570586403303,29555874679418851597,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,Dai,1000000000000000000,481136.5611875705864033030000000000000000000000000000000000000000000000000000005,29.55587467941885159699999999999999999999999999999999999999999999999999999999992,2,9541018512019928248,ETH
2022-03-06T10:24:01.0,88843015DB7127320EBAE0D80114AE864CB2F6653EB111F4C0F82EF1CA70D544,14332768,80,206,B50A98B218968D9D6EC895BE6850AB2807B763DC,1897499975693497345272,122660651956581290,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,TrueUSD,1000000000000000000,1897.499975693497345272000000000000000000000000000000000000000000000000000000007,0.1226606519565812900000000000000000000000000000000000000000000000000000000000002,2,83636144101912566,ETH
2022-03-07T05:14:21.0,85516C8D1AE3BC08F98402EE0A372EC2012B9EE0B5288793E28C76C7869992E3,14337798,8,18,FA65F12E326DA4AF7895E5FC71F5B383CB8E6624,2879435085446734554884,248054225352097992456,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,LINK,1000000000000000000,Dai,1000000000000000000,2879.435085446734554883999999999999999999999999999999999999999999999999999999988,248.0542253520979924559999999999999999999999999999999999999999999999999999999991,2,110105319969037858,ETH
2022-03-10T02:02:59.0,2BFD615A7D74324F6F6ADD619C7D652742F09F0DF17A55EF9DC0DF0099473FDB,14356269,325,431,2B021AFA5EAB3D8DE29ED8210B33122D0A44FA1E,3436570511,1352438892348020746,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,aETH,1000000000000000000,USDT,1000000,3436.570510999999999999999999999999999999999999999999999999999999999999999999986,1.352438892348020746000000000000000000000000000000000000000000000000000000000009,1,1293449782855776539,
2022-03-11T03:05:41.0,9EF2A5F28611DCAE6B07C00D154EE52D65B9EF8CCCA374107DA409DD1D8BE71E,14363068,172,211,819B4974CF21F7F261279FDB8EC01EBC8629635B,1552189828,132842164403389024313,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,LINK,1000000000000000000,USDC,1000000,1552.189828000000000000000000000000000000000000000000000000000000000000000000003,132.8421644033890243129999999999999999999999999999999999999999999999999999999998,2,56050593482959451,ETH
2022-03-14T13:45:17.0,19652F003DAEEE924EC288C54F6388ACE888891CA301C76B9801E84E670FF4F6,14385066,66,93,8D195C2F33B4E946F4ACADE04AC538F240B2C658,2722134145,1114919152554857812,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,aETH,1000000000000000000,USDC,1000000,2722.134145000000000000000000000000000000000000000000000000000000000000000000013,1.114919152554857811999999999999999999999999999999999999999999999999999999999997,1,1063731627460803789,
2022-03-15T07:04:23.0,290C6B51DAB67EA212CF899D90DD136F12920965424C5E545194305320A00B1B,14389714,53,85,AE447EFDB02D15D460D9C640710244F3EBAD5473,879065614090132666121,55530047959068370,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,Dai,1000000000000000000,879.0656140901326661209999999999999999999999999999999999999999999999999999999971,0.05553004795906837000000000000000000000000000000000000000000000000000000000000009,2,48680696396267333,ETH
